Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Otto,Nilsson,Parkgränd 63,Jönköping,57299,Sverige,SE,19590419-1411,+46,+46 (0)42 08 99 56,1959-04-19,True
Ulla,Eriksson,Ringgatan 7,Eskilstuna,42088,Sverige,SE,19841004-8315,+46,+46 (0)88 89 56 31,1984-10-04,True
April,Parrish,Johnny Trafficway 64744,Lake Melissaborough,83776,Danmark,DK,19550520-8589,+45,(232)997-4938,1955-05-20,True
Mats,Gustavsson,Nyvägen 500,Uppsala,47595,Sverige,SE,19470514-3259,+46,08-97 57 98,1947-05-14,True
Sissel,Aasen,Kristensenroa 59,Elisebø,7714,Norge,NO,19970617-9653,+47,45218509,1997-06-17,True
Conny,Månsson,Industrivägen 2,Landskrona,76925,Sverige,SE,19521024-7289,+46,059-630 53 23,1952-10-24,True
Eddie,Eaton,Fisher Meadows 2431,West Kristen,53860,Danmark,DK,19740428-9794,+45,272-877-4748x94273,1974-04-28,True
Birgitta,Eklund,Fabriksgatan 5,Uddevalla,70162,Sverige,SE,20000222-4281,+46,08-867 490 02,2000-02-22,True
Brian,Powell,Kelsey Court 84284,New Angelaberg,64875,Danmark,DK,19670419-5525,+45,(499)949-7188,1967-04-19,True
Martina,Hansson,Bäckgränd 058,Lidingö,37072,Sverige,SE,19430413-3126,+46,0721-148 10,1943-04-13,True
Rolf,Östlund,Kyrkogränd 8,Stockholm,30048,Sverige,SE,19840703-0288,+46,08-981 768 32,1984-07-03,True
Gunilla,Johansson,Stationsgatan 4,Trelleborg,81250,Sverige,SE,19590327-4400,+46,08-850 906 79,1959-03-27,True
Ingeborg,Wallin,Storgatan 0,Jönköping,98488,Sverige,SE,19780617-2243,+46,08-376 22 15,1978-06-17,True
Gösta,Nordström,Furuvägen 3,Växjö,81769,Sverige,SE,19810909-5908,+46,+46 (0)8 174 157 33,1981-09-09,True
Anna,Pittman,Christopher Isle 7727,Schroederside,32935,Danmark,DK,19551230-4734,+45,235-880-2975x75328,1955-12-30,True
Åke,Karlsson,Furustigen 0,Luleå,95550,Sverige,SE,19891014-3188,+46,060-805 69 04,1989-10-14,True
Gertrud,Holmgren,Kvarnvägen 737,Umeå,29567,Sverige,SE,20001124-0326,+46,08-17 60 60,2000-11-24,True
Petter,Næss,Strandplassen 3C,Dahl,6784,Norge,NO,19531121-7269,+47,10 94 56 93,1953-11-21,True
Siv,Kristensen,Engenlunden 5D,Trinedal,2644,Norge,NO,19790908-7093,+47,94 37 08 95,1979-09-08,True
Irene,Johansson,Parkgränd 38,Luleå,94261,Sverige,SE,19970803-5796,+46,08-113 473 35,1997-08-03,True
Martin,Duncan,Cline Row 313,Loganmouth,93520,Danmark,DK,19610311-1547,+45,5382208077,1961-03-11,True
Eva,Dahl,Hellandstien 3,Kristensen,2529,Norge,NO,19640507-3807,+47,33 96 80 15,1964-05-07,True
Britt,Karlsson,Kvarnstigen 4,Nyköping,39029,Sverige,SE,19400208-9286,+46,08-14 55 89,1940-02-08,True
Erik,Axelsson,Furuvägen 1,Mölndal,42390,Sverige,SE,19991006-3445,+46,08-813 31 01,1999-10-06,True
Carin,Andersson,Parkgatan 0,Västerås,94620,Sverige,SE,19630508-6056,+46,019-27 01 22,1963-05-08,True
Emma,Brekke,Lienhavna 2,Hanssen,7740,Norge,NO,19921209-5041,+47,924 55 686,1992-12-09,True
Steven,Mason,Reilly Cliff 1262,Shellyshire,57883,Danmark,DK,19800619-8600,+45,001-914-723-2373x921,1980-06-19,True
Ingrid,Andersson,Skolvägen 1,Karlstad,50656,Sverige,SE,19600506-4248,+46,08-714 41 37,1960-05-06,True
Kristine,Strand,Ødegårdgata 279,Pettersen,7126,Norge,NO,19740323-0745,+47,67974826,1974-03-23,True
Martin,Olsson,Bäckvägen 0,Nyköping,90549,Sverige,SE,19600311-5062,+46,0802-13 98 45,1960-03-11,True
George,Miller,Michael Spring 2883,Nicholashaven,89622,Danmark,DK,19470707-6914,+45,+1-269-737-4052x4181,1947-07-07,True
Carin,Andersson,Backgränd 85,Gävle,79342,Sverige,SE,19570603-4241,+46,073-97 76 18,1957-06-03,True
Jeffrey,Snow,Davis Mountain 864,Port Kathryn,40375,Danmark,DK,19460319-2903,+45,293-929-8113,1946-03-19,True
Per,Fransson,Grangränd 358,Luleå,79018,Sverige,SE,19550714-4806,+46,+46 (0)02 25 24 11,1955-07-14,True
Annikki,Räsänen,Niittyläntie 299,Sund,52857,Finland,FI,19970305-867P,+358,031 068 5132,1997-03-05,True
Per,Lindgren,Skolgränd 919,Skellefteå,56697,Sverige,SE,19590221-4960,+46,08-608 82 66,1959-02-21,True
Gun,Eriksson,Björktorget 7,Jönköping,34087,Sverige,SE,19581031-0317,+46,08-949 38 88,1958-10-31,True
Frank,Stark,Bowman Road 95025,Lawrenceberg,51228,Danmark,DK,19700716-3988,+45,(474)597-6035x599,1970-07-16,True
Nancy,Tanner,Ronald Tunnel 070,Vernonmouth,80203,Danmark,DK,19870417-1794,+45,462.775.6953x05624,1987-04-17,True
Øyvind,Mathisen,Fredriksenskogen 5,Mariahamn,3992,Norge,NO,19440717-9614,+47,907 26 714,1944-07-17,True
Ingrid,Johannesson,Industrivägen 299,Motala,11699,Sverige,SE,19590613-8351,+46,0309-773 23,1959-06-13,True
Sissel,Berg,Sørensenkollen 02A,Berge,8836,Norge,NO,19431228-8537,+47,+4794570818,1943-12-28,True
Vidar,Knudsen,Aligjerdet 2A,Sørensen,4259,Norge,NO,19510211-9865,+47,927 05 981,1951-02-11,True
Ragnar,Andersson,Strandgränd 65,Karlskrona,41765,Sverige,SE,19701208-6042,+46,08-729 993 97,1970-12-08,True
Karin,Söderberg,Villavägen 835,Göteborg,37417,Sverige,SE,19520703-5315,+46,044-59 94 71,1952-07-03,True
Emilia,Andersson,Strandgatan 4,Borås,36171,Sverige,SE,19830419-0685,+46,08-073 00 98,1983-04-19,True
Anna,Blomberg,Idrottsgatan 7,Lidköping,83127,Sverige,SE,19950905-0134,+46,+46 (0)739 388 92,1995-09-05,True
Nils,Hansson,Björkgränd 8,Uddevalla,31468,Sverige,SE,19630910-6189,+46,+46 (0)61 84 52 10,1963-09-10,True
Erik,Karlsson,Ekvägen 46,Uddevalla,51357,Sverige,SE,19930402-1556,+46,+46 (0)754 902 03,1993-04-02,True
Inga,Persson,Aspvägen 389,Lidköping,79146,Sverige,SE,19980725-9031,+46,009-830 14 99,1998-07-25,True
Gösta,Lindgren,Kyrkgatan 979,Karlskoga,64907,Sverige,SE,19561227-6829,+46,+46 (0)994 020 72,1956-12-27,True
Tonje,Jacobsen,Tangensvingen 55D,Petterø,6254,Norge,NO,19930413-4842,+47,43 84 67 97,1993-04-13,True
Bo,Johansson,Villastigen 656,Borås,40323,Sverige,SE,19570304-5008,+46,08-98 65 23,1957-03-04,True
Emma,Knudsen,Moestubben 186,Abrahamsen,1140,Norge,NO,19861010-7524,+47,903 84 131,1986-10-10,True
Arja,Seppälä,Tahtibulevardi 5,Pyhäntä,92490,Finland,FI,19700206-310J,+358,0168003487,1970-02-06,True
Ann,Haugen,Arnesenhagen 117,Håvardborg,3462,Norge,NO,19670127-6866,+47,427 71 182,1967-01-27,True
Julie,Aasen,Nguyenrøa 664,Berge,4633,Norge,NO,19410522-7108,+47,50577037,1941-05-22,True
Adam,Flowers,Peterson Pines 70063,South Stacymouth,48006,Danmark,DK,19440927-8522,+45,(212)767-9766x71749,1944-09-27,True
Leif,Madsen,Henriksenberget 8,Runeborg,7894,Norge,NO,19500926-5239,+47,13853597,1950-09-26,True
Hege,Halvorsen,Eliassensvingen 3,Engen,1211,Norge,NO,19570308-8526,+47,29006610,1957-03-08,True
Håvard,Haugland,Ruudbakken 7,Andresen,2168,Norge,NO,19761121-4204,+47,963 31 436,1976-11-21,True
Line,Henriksen,Knudsentoppen 58,Sæther,6119,Norge,NO,19721009-8974,+47,+47 89 38 87 76,1972-10-09,True
Inger,Jansson,Villavägen 260,Halmstad,44937,Sverige,SE,19900502-5290,+46,+46 (0)8 680 273 70,1990-05-02,True
Maj-Britt,Martinsson,Bäckgatan 620,Kalmar,44211,Sverige,SE,19891230-2068,+46,0190-26 87 32,1989-12-30,True
Anneli,Leppänen,Biologinkatu 2,Pöytyä,97437,Finland,FI,19850612-756U,+358,+358 97 5185616,1985-06-12,True
Niklas,Ojala,Haaksikatu 2,Koski Tl,63416,Finland,FI,19600728-124F,+358,(+358) 620938343,1960-07-28,True
Ensio,Timonen,Kimmonkatu 4,Sysmä,36382,Finland,FI,19840305-788V,+358,+358 244276673,1984-03-05,True
Daniel,Molin,Parktorget 46,Karlskrona,90412,Sverige,SE,19420314-2300,+46,+46 (0)90 07 30 95,1942-03-14,True
Johan,Hagström,Skogsvägen 821,Ängelholm,33074,Sverige,SE,19750731-2181,+46,08-190 349 61,1975-07-31,True
Terje,Pedersen,Jenssensvingen 1,Bentehelle,9470,Norge,NO,19590902-2775,+47,96110869,1959-09-02,True
Barbro,Lundmark,Kyrkgatan 475,Helsingborg,93785,Sverige,SE,19540318-1934,+46,+46 (0)21 87 12 24,1954-03-18,True
Tracey,Murillo,Susan Crest 0590,Port Jade,90841,Danmark,DK,19550820-7914,+45,001-297-334-6325x897,1955-08-20,True
Heather,Smith,Keith Street 1498,Port Emilyview,46113,Danmark,DK,19931002-0757,+45,7877276976,1993-10-02,True
Timothy,Richards,Huerta Ports 5229,West Jaclyntown,34895,Danmark,DK,19890827-7585,+45,825-459-5335,1989-08-27,True
Dan,Gustafsson,Bäckvägen 1,Uppsala,68114,Sverige,SE,19810628-8756,+46,+46 (0)61 08 73 13,1981-06-28,True
Malin,Dahl,Iversenmarka 17,Fredrikodden,5689,Norge,NO,19630722-3330,+47,53488451,1963-07-22,True
Inger,Johansson,Parktorget 4,Jönköping,95858,Sverige,SE,19770824-1888,+46,037-72 01 13,1977-08-24,True
Gunn,Nguyen,Karlsenalléen 6,Haugland,0937,Norge,NO,19650116-6728,+47,+47 65 68 22 41,1965-01-16,True
Tonje,Berge,Karlsenløkka 5E,Berg,0620,Norge,NO,19561220-9112,+47,934 19 805,1956-12-20,True
David,Ljungberg,Kyrkstigen 6,Falun,45619,Sverige,SE,19561219-8358,+46,0262-699 19,1956-12-19,True
Janet,Richards,Chelsea Falls 41465,New Jacquelinechester,92714,Danmark,DK,19540530-6917,+45,7977867279,1954-05-30,True
Lars,Holmberg,Ängsstigen 1,Motala,85167,Sverige,SE,19610110-2173,+46,036-23 78 94,1961-01-10,True
Kalervo,Kinnunen,Uskalikonbulevardi 16,Pyhäranta,93870,Finland,FI,19680616-7861,+358,+358 63 2990832,1968-06-16,True
Linnea,Lehtinen,Böstaksenbulevardi 922,Keitele,28806,Finland,FI,19601115-648B,+358,+358062655441,1960-11-15,True
Viktoria,Andersson,Järnvägsstigen 895,Östersund,48053,Sverige,SE,19800829-8345,+46,08-732 52 64,1980-08-29,True
Irene,Antonsen,Johansengrenda 02,Kristiansen,8176,Norge,NO,19470427-0505,+47,+47 09 03 79 17,1947-04-27,True
Erik,Lindell,Industrigatan 93,Alingsås,94595,Sverige,SE,19910128-0842,+46,+46 (0)85 03 95 83,1991-01-28,True
Christina,Roberts,Christina Parkway 5627,Samanthabury,91290,Danmark,DK,19961104-9741,+45,001-787-550-3729,1996-11-04,True
Sheri,Hicks,George Lock 6558,New Robin,17490,Danmark,DK,19960914-7645,+45,+1-574-273-8270x676,1996-09-14,True
Kerttu,Andersson,Berganpolku 71,Korsnäs,31304,Finland,FI,19890727-185K,+358,075 123 2170,1989-07-27,True
Christina,Drake,Taylor Track 48438,Williamberg,70494,Danmark,DK,19591106-7178,+45,(358)444-7602x11936,1959-11-06,True
Thomas,Schneider,Karl Camp 16378,North Melissafurt,45828,Danmark,DK,19930315-8028,+45,7256642244,1993-03-15,True
Bjørg,Jacobsen,Knudsenrøa 4C,Strand,3107,Norge,NO,19601202-2679,47,61965426,1960-12-02,True
Hillevi,Karlsson,Ängsgatan 89,Borlänge,87014,Sverige,SE,19740127-9797,+46,08-782 475 79,1974-01-27,True
Natasha,Cook,Danielle Underpass 833,North Mark,45706,Danmark,DK,19990221-1649,+45,(737)486-4576x54777,1999-02-21,True
Maria,Warren,Dustin Views 65764,South Elizabeth,68719,Danmark,DK,19660511-2994,+45,+1-811-500-3688,1966-05-11,True
Kenneth,Næss,Fredriksenlyngen 2,Andersfjell,0570,Norge,NO,19720610-7899,+47,71 30 22 26,1972-06-10,True
Helge,Magnusson,Björkstigen 987,Helsingborg,31499,Sverige,SE,19851020-6994,+46,08-888 96 13,1985-10-20,True
Jan,Hansen,Strømlunden 69,Kristoffersen,8405,Norge,NO,19620815-5717,+47,966 96 654,1962-08-15,True
Julia,Komulainen,Oravakatu 55,Tervola,65708,Finland,FI,19890423-106D,+358,+358670874848,1989-04-23,True
Jason,Thompson,Griffith Branch 47902,Stevenborough,97876,Danmark,DK,19581124-5807,+45,265.372.8021,1958-11-24,True
Olof,Olsson,Fabriksgatan 686,Norrköping,22508,Sverige,SE,19671008-8295,+46,+46 (0)37 80 00 97,1967-10-08,True
Holly,Ellis,Burch Parkways 1275,East Gordonchester,40161,Danmark,DK,19640529-1539,+45,975.806.0543,1964-05-29,True
Lindsey,Salinas,Andrew Avenue 4814,Elliottmouth,62998,Danmark,DK,19430719-5827,+45,254.921.9137x4985,1943-07-19,True
Georg,Nilsson,Kvarnvägen 940,Karlstad,93301,Sverige,SE,19980627-7417,+46,08-31 04 65,1998-06-27,True
Erik,Petersson,Åkervägen 29,Linköping,45601,Sverige,SE,19840108-5040,+46,+46 (0)8 700 044 34,1984-01-08,True
Elijah,Vazquez,Anna Stream 9986,West James,52846,Danmark,DK,19700922-2414,+45,001-928-819-1738x2370,1970-09-22,True
Eli,Arnesen,Martinsenlyngen 21,Julieås,6228,Norge,NO,19630810-5290,+47,34700087,1963-08-10,True
Tanja,Mustonen,Eino Leinon katu 04,Kivijärvi,46822,Finland,FI,19741105-460A,+358,+358 977444795,1974-11-05,True
Kenneth,Rasmussen,Fredriksenringen 5,Unnines,3175,Norge,NO,19440511-4155,+46,413 47 065,1944-05-11,True
Vilhelmina,Svensson,Villastigen 699,Malmö,30147,Sverige,SE,19880408-6489,+46,08-838 04 12,1988-04-08,True
Börje,Berg,Ekgränd 2,Karlstad,46826,Sverige,SE,19660810-8279,+46,027-87 13 59,1966-08-10,True
Sindre,Danielsen,Karlsenkroken 7C,Espenhelle,0484,Norge,NO,19790101-2562,+47,56 64 63 78,1979-01-01,True
Keijo,Rissanen,Taavinkuja 13,Jämijärvi,24114,Finland,FI,19781125-575J,+358,(+358) 767373796,1978-11-25,True
Anne-Marie,Jakobsson,Kvarngatan 0,Borlänge,48498,Sverige,SE,19970812-9422,+46,08-434 26 90,1997-08-12,True
Sissel,Lien,Viktoppen 8,Andreassen,0282,Norge,NO,19600921-9918,+47,91542616,1960-09-21,True
Gunilla,Aronsson,Parkvägen 92,Skövde,58424,Sverige,SE,19601101-8014,+46,031-78 08 86,1960-11-01,True
Håkon,Jacobsen,Lienbråten 2D,Thorstad,1337,Norge,NO,19670816-5015,+47,40787466,1967-08-16,True
Björn,Lindgren,Nyvägen 6,Göteborg,65192,Sverige,SE,19890930-0793,+46,0619-403 72,1989-09-30,True
Eva,Johansson,Industrigränd 091,Borås,45154,Sverige,SE,19440724-1638,+46,054-94 60 66,1944-07-24,True
Yvonne,Jansson,Villavägen 197,Malmö,20666,Sverige,SE,19730704-5020,+46,08-773 97 12,1973-07-04,True
Sigurd,Jenssen,Strømalléen 06B,Thorsen,8617,Norge,NO,19550110-4320,+47,+4761463044,1955-01-10,True
Thomas,Halvorsen,Sørensenstranda 5,Holm,2700,Norge,NO,19511103-8176,+47,30667958,1951-11-03,True
Vilma,Huovinen,Urpubulevardi 63,Sodankylä,12473,Finland,FI,19840217-4059,+358,+358846729727,1984-02-17,True
Yvette,Noble,Jessica Crossroad 70621,Waynebury,31641,Danmark,DK,19660615-3809,+45,001-515-612-9249,1966-06-15,True
Anna,Lindberg,Skoltorget 69,Uppsala,61953,Sverige,SE,19440103-4870,+46,+46 (0)58 77 99 11,1944-01-03,True
Therese,Sandström,Kvarnvägen 08,Motala,43847,Sverige,SE,19721005-0166,+46,08-36 40 12,1972-10-05,True
Lennart,Månsson,Industrivägen 949,Mölndal,86500,Sverige,SE,19650516-1861,+46,08-905 923 15,1965-05-16,True
Lars,Eliasson,Kyrkgatan 753,Karlskrona,16415,Sverige,SE,19830412-0965,+46,08-318 29 79,1983-04-12,True
Maria,Edlund,Ekvägen 658,Uppsala,69183,Sverige,SE,19560713-2881,+46,+46 (0)8 552 519 94,1956-07-13,True
Dennis,Thomas,Robbins Trafficway 63570,Steventown,28250,Danmark,DK,19911220-7269,+45,+1-607-308-8193x475,1991-12-20,True
Shirley,Thompson,Ashley Islands 576,Ruizside,67200,Danmark,DK,19431206-3544,45,6902332183,1943-12-06,True
Sari,Mikkonen,Maanmittarintie 377,Kolari,28928,Finland,FI,19540918-3050,+358,(+358) 321658331,1954-09-18,False
Gro,Antonsen,Kristiansenkollen 2B,Tovevik,0041,Norge,NO,19501231-4886,+47,09 03 27 82,1950-12-31,True
Kenneth,Larsson,Åkerstigen 2,Mölndal,18948,Sverihe,SE,19700604-5662,+46,08-92 75 98,1970-06-04,True
Elisabeth,Kristiansson,Backtorget 257,Lund,94065,Sverige,SE,19890730-1489,+46,0375-882 15,1989-07-30,True
Patrick,Larson,Rose Pines 9972,North Charles,10866,Danmark,DK,19880115-7751,+45,433-703-9290x93203,1988-01-15,True
Juho,Virtanen,Poikasaartenkuja 83,Lemi,69729,Finland,FI,19720626-149C,+358,+358827937885,1972-06-26,True
Espen,Knutsen,Nilsenhøgda 26,Jannehamn,6918,Norge,NO,19760113-5630,+47,46261916,1976-01-13,True
Eli,Simonsen,Kristiansenåsen 3,Myhre,8052,Norge,NO,19890328-5444,+47,35381828,1989-03-28,True
Ingrid,Hjalmarsson,Ekgatan 37,Stockholm,55834,Sverige,SE,19461004-4819,+46,076-52 74 56,1946-10-04,True
Kristoffer,Svendsen,Ruudvollen 85,Kristiannes,9540,Norge,NO,19430607-5531,+47,69399355,1943-06-07,True
Christopher,Santiago,Matthews Lake 415,West Frances,79338,Danmark,DK,19510909-1111,+45,+1-893-620-6311x122,1951-09-09,True
May,Abrahamsen,Christensenmyra 1,Næss,6239,Norge,NO,19920525-7261,+47,92838470,1992-05-25,True
Josef,Persson,Furugränd 869,Umeå,92357,Sverige,SE,19470903-8722,+46,+46 (0)8 514 758 06,1947-09-03,True
Margareta,Johansson,Skolgränd 583,Jönköping,67066,Sverige,SE,19780917-8186,+46,+46 (0)21 58 38 09,1978-09-17,True
Karl,Berglund,Parkvägen 9,Östersund,86165,Sverige,SE,19420103-2031,+46,035-62 53 56,1942-01-03,True
Alexandra,Hunter,Meredith Stravenue 09928,Smithburgh,82525,Danmark,DK,19570306-8867,+45,+1-705-350-8039,1957-03-06,True
Britt,Jansson,Industrivägen 68,Gävle,24728,Sverige,SE,19971228-4442,+46,+46 (0)066 015 19,1997-12-28,True
Åke,Ljung,Stationsvägen 5,Umeå,74723,Sverige,SE,19470420-4336,+46,0207-914 53,1947-04-20,True
Terttu,Sipilä,Jäkäläkatu 28,Kärkölä,74648,Finland,FI,19970603-3161,+358,065 564 6473,1997-06-03,True
Keith,Jackson,Ferguson Summit 14148,Port Angela,47452,Danmark,DK,19590613-5423,+45,498-235-5453x1603,1959-06-13,True
John,Fredriksson,Backvägen 3,Helsingborg,17039,Sverige,SE,19670506-4929,+46,+46 (0)608 363 21,1967-05-06,True
Robert,Persson,Bäcktorget 679,Luleå,81097,Sverige,SE,19521002-9885,+46,+46 (0)8 698 845 82,1952-10-02,True
Rita,Gundersen,Aunehøgda 9A,Roarborg,2609,Norge,NO,19540815-4127,+47,971 12 100,1954-08-15,True
Monika,Wallin,Trädgårdsvägen 9,Motala,36230,Sverige,SE,19490602-2566,+46,0889-61 71 55,1949-06-02,True
Ingeborg,Gundersen,Solbergvollen 655,Gulbrandsen,8853,Norge,NO,19560407-2504,+47,+47 88 77 93 65,1956-04-07,True
John,Garner,Avila Alley 283,South Kevin,84223,Danmark,DK,19901012-5580,+45,(425)438-4486,1990-10-12,True
Matilda,Aalto,Neulapadonpolku 2,Honkajoki,78978,Finland,FI,19730219-5222,+358,+358 290479913,1973-02-19,True
Helene,Madsen,Sivertsenfaret 2,Wenchestrøm,7944,Norge,NO,19710918-3792,+47,62 88 45 18,1971-09-18,True
Martin,Solheim,Myklebuståsen 24,Kristensen,8642,Norge,NO,19620131-1943,+47,91238669,1962-01-31,True
Karin,Hallberg,Skolvägen 0,Borlänge,72646,Sverige,SE,19510327-4854,+46,+46 (0)15 88 94 14,1951-03-27,True
Daniel,Hanssen,Knudsenfaret 7D,Emiløy,7899,Norge,NO,19720928-5857,+47,987 58 149,1972-09-28,True
Ragnhild,Kristensen,Solheimstien 44E,Sørensen,7831,Norge,NO,19880710-6672,+47,99782227,1988-07-10,True
Rune,Ahmed,Nguyenengen 57,Ellenbø,2750,Norge,NO,19600408-4072,+47,32253830,1960-04-08,True
Synnøve,Eide,Johannessenmyra 7,Jacobsen,4265,Norge,NO,19641003-1558,+47,43583172,1964-10-03,True
Liv,Aasen,Hellandstykket 542,Stianstad,4795,Norge,NO,19760305-2136,+47,60281848,1976-03-05,True
Trevor,Hill,Richard Forge 912,West Gloriaberg,23932,Danmark,DK,19901231-0427,+45,721.244.9750,1990-12-31,True
Jessica,Colon,Elaine Court 2071,Richardsonfort,96728,Danmark,DK,19501106-2340,+45,+1-638-908-6419x627,1950-11-06,True
Carl,Blom,Storstigen 67,Alingsås,71866,Sverige,SE,19920404-9530,+46,08-42 90 86,1992-04-04,True
Jared,Owens,Lucas Tunnel 729,Alishaton,92465,Danmark,DK,19660717-0355,+45,(877)506-2068x77744,1966-07-17,True
Anna,Svensson,Trädgårdsgatan 3,Östersund,15295,Sverige,SE,19480923-2129,+46,08-984 16 10,1948-09-23,True
Jan,Ekberg,Skolgatan 1,Piteå,45022,Sverige,SE,19520501-8170,+46,08-039 470 86,1952-05-01,True
Sofia,Pekkarinen,Agricolankatu 9,Janakkala,40164,Finland,FI,19731216-394J,+358,+358400594225,1973-12-16,True
Ove,Karlsson,Aspgränd 8,Skövde,86154,Sverige,SE,20000715-3753,+46,0786-548 26,2000-07-15,True
Sandra,Lundberg,Granstigen 67,Östersund,47004,Sverige,SE,19760827-3177,+46,0862-45 90 52,1976-08-27,True
Per,Nielsen,Madsenfaret 1,Svendsen,7023,Norge,NO,19750601-4088,+47,92831378,1975-06-01,True
Lennart,Bäckström,Idrottsgatan 04,Göteborg,79309,Sverige,SE,19511013-3886,+46,08-949 21 22,1951-10-13,True
Vilhelm,Svensson,Villavägen 068,Örnsköldsvik,76472,Sverige,SE,19840825-4712,+46,070-612 48 06,1984-08-25,True
Eija,Rantala,Malminkartanonkatu 7,Jämsä,68757,Finland,FI,19610527-073P,+358,(+358) 854094070,1961-05-27,True
Mette,Nygård,Hanssenstykket 7,Henriksen,3276,Norge,NO,19811008-6174,+47,60 15 24 52,1981-10-08,True
Linda,Berggren,Backgatan 8,Nyköping,94295,Sverige,SE,19811019-4716,+46,08-918 327 41,1981-10-19,True
Eva,Andersson,Kvarnvägen 5,Helsingborg,53139,Sverige,SE,19861002-8273,+46,+46 (0)8 893 814 08,1986-10-02,True
Inger,Ågren,Skogsvägen 5,Eskilstuna,24958,Sverige,SE,19560123-3836,+46,+46 (0)8 533 712 95,1956-01-23,True
Ingvar,Andersson,Parktorget 233,Mölndal,17224,Sverige,SE,19930910-4102,+46,+46 (0)448 338 92,1993-09-10,True
Svein,Johnsen,Moemoen 1,Nygård,7557,Norge,NO,19760823-8620,+47,53 78 35 86,1976-08-23,True
May,Thorsen,Gundersenberget 63B,Vik,7341,Norge,NO,19911012-0575,+47,72005643,1991-10-12,True
Eli,Kristoffersen,Eliassenstranda 86C,Anitahavn,0250,Norge,NO,19610926-1373,+47,93292192,1961-09-26,True
Anneli,Saarela,Uussillanbulevardi 87,Luoto,99091,Finland,FI,19470318-7476,+358,+358 03 6454333,1947-03-18,True
Carl,Karlsson,Skolvägen 25,Uppsala,30991,Sverige,SE,19740214-2060,+46,090-12 70 48,1974-02-14,True
Lotta,Kauppinen,Tukkisillantie 914,Raasepori,02813,Finland,FI,19680226-2096,+358,+358 24 2278967,1968-02-26,True
Todd,Clark,Stone Glen 0606,Harveyshire,71777,Danmark,DK,19651014-9037,+45,243-364-5451,1965-10-14,True
Asko,Oikarinen,Graniittikuja 212,Kokemäki,32724,Finland,FI,19830804-3916,+358,+358 99 9226501,1983-08-04,True
Stefan,Oskarsson,Furuvägen 549,Karlstad,16443,Sverige,SE,19470114-2661,+46,+46 (0)211 073 31,1947-01-14,True
Alf,Knutsen,Ruudgjerdet 6,Jonberg,2061,Norge,NO,19590905-1441,+47,+47 97 30 50 41,1959-09-05,True
Gösta,Östlund,Idrottstorget 9,Jönköping,53375,Sverige,SE,19910324-4071,+46,+46 (0)831 258 82,1991-03-24,True
Vicki,Bush,Tammy Wells 74661,Joneschester,92788,Danmark,DK,19990925-6855,+45,945.707.9708x43687,1999-09-25,True
Emelie,Lindberg,Furugränd 20,Ängelholm,58861,Sverige,SE,19770120-3507,+46,08-549 63 52,1977-01-20,True
Johannes,Hansson,Nystigen 95,Kalmar,86994,Sverige,SE,19561115-7388,+46,0764-84 40 95,1956-11-15,True
Emelie,Mattsson,Skogsvägen 77,Karlskoga,95072,Sverige,SE,19870508-2060,+46,0452-866 14,1987-05-08,True
Alexander,Pettersson,Parkvägen 527,Sandviken,13352,Sverige,SE,19431008-7877,+46,001-81 62 96,1943-10-08,True
Tara,Hart,Sarah Squares 6588,Cookshire,35838,Danmark,DK,19890410-8532,+45,(430)766-0577,1989-04-10,True
Wilhelm,Björklund,Åkervägen 7,Mölndal,20045,Sverige,SE,19730320-4801,+46,0982-070 19,1973-03-20,True
Anette,Lilja,Storgatan 7,Trelleborg,60704,Sverige,SE,19940731-9032,+46,08-61 75 72,1994-07-31,True
Maria,Nilsson,Bäckgatan 6,Sundsvall,47202,Sverige,SE,19961018-6491,+46,08-401 246 76,1996-10-18,True
Anna,Pedersen,Stationsgränd 782,Helsingborg,65166,Sverige,SE,19700703-5238,+46,001-34 92 18,1970-07-03,True
Olof,Nilsson,Kyrkvägen 990,Ängelholm,64001,Sverige,SE,19931231-0647,+46,030-559 23 62,1993-12-31,True
Stefan,Östlund,Industritorget 5,Sundsvall,27009,Sverige,SE,19470213-4438,+46,+46 (0)8 955 711 95,1947-02-13,True
Michael,Cunningham,Chambers Prairie 9772,West Emilyton,61997,Danmark,DK,19771230-4878,+45,(937)994-5319x2852,1977-12-30,True
Stephen,Rodriguez,Jeffery Trace 44795,Rodriguezburgh,79458,Danmark,DK,19510920-2553,+45,+1-771-328-5918x99037,1951-09-20,True
Elisabet,Sundberg,Aspgränd 58,Nyköping,85724,Sverige,SE,19500116-6851,+46,+46 (0)16 01 19 94,1950-01-16,True
Blake,Montes,Karen Lodge 1418,West Derek,77004,Danmark,DK,19620618-2756,+45,204-856-4638,1962-06-18,True
Hans,Johansson,Trädgårdsgatan 8,Lund,85967,Sverige,SE,19860729-0863,+46,0907-842 73,1986-07-29,True
Anette,Knutsson,Skogsvägen 694,Göteborg,89096,Sverige,SE,19680908-1495,+46,+46 (0)8 431 479 74,1968-09-08,True
Marika,Karjalainen,Jämsänkatu 59,Enonkoski,81371,Finland,FI,19690419-144S,+358,(+358) 956814387,1969-04-19,True
Margaretha,Johansson,Skolgatan 231,Luleå,71771,Sverige,SE,19900616-2151,+46,08-11 94 05,1990-06-16,True
